Id,Sample_id,File_name,Default,Type,Severity,Label
32,20240032,long method_typeCheckMethodsWithGenerics ClassNode|ClassNode[]|MethodNode.java,long method,function,minor,1
33,20240033,long method_ReflectivePropertyAccessor#read EvaluationContext|Object|String.java,long method,function,major,1
34,20240034,long method_OfflineImageReconstructor#expectTag String|boolean.java,long method,function,minor,1
35,20240035,long method_JdbcSQLContentAssistProcessor#getRelevantProposals ITextViewer|int.java,long method,function,minor,1
36,20240036,long method_IndexIO#validateTwoSegments IndexableAdapter|IndexableAdapter.java,long method,function,minor,1
37,20240037,long method_GoalViolationDetector#optimizeForGoal ClusterModel|Goal|GoalViolations|Set<Integer>|Set<Integer>.java,long method,function,minor,1
38,20240038,long method_BrokerImpl#refreshInternal Collection|OpCallbacks.java,long method,function,major,1
39,20240039,long method_AttributeMap#internalRemoveNamedItemNS String|String|boolean.java,long method,function,major,1
40,20240040,long method_DefaultSentryAccessController#grantOrRevokeRoleOnGroup List<HivePrincipal>|List<String>|HivePrincipal|boolean.java,long method,function,minor,1
41,20240041,long method_WindowController#increaseConnectionWindow int.java,long method,function,minor,1
42,20240042,long method_IndexFocusTraversalPolicy#getNextComponent Container|Component|FocusTraversalDirection.java,long method,function,major,1
43,20240043,long method_Handler#startElement String|String|String|Attributes.java,long method,function,major,1
44,20240044,long method_TypeList#asTuple.java,long method,function,major,1
45,20240045,long method_AbstractKuduOutputOperator#performCommonProcessing Operation|KuduExecutionContext.java,long method,function,major,1
46,20240046,long method_BlockCommand#doExecute.java,long method,function,major,1
47,20240047,long method_BasicTask#get Duration.java,long method,function,minor,1
48,20240048,long method_AddImageStoreS3CMD#execute.java,long method,function,major,1
49,20240049,long method_InternalXImportSectionTestLangLexer#mRULE_STRING.java,long method,function,major,1
50,20240050,long method_PigServer PigContext|boolean.java,long method,function,major,1
51,20240051,long method_getFacilityContactMechValueMaps Delegator|String|boolean|String.java,long method,function,major,1
52,20240052,long method_TListSentryPrivilegesRequest#equals TListSentryPrivilegesRequest.java,long method,function,minor,1
53,20240053,long method_StackMapWriter#setStackMap StackMapTable_attribute.java,long method,function,minor,1
54,20240054,long method_CK_ECDH1_DERIVE_PARAMS#toString.java,long method,function,minor,1
55,20240055,long method_TemplateManager#listLanguages PageContext.java,long method,function,minor,1
56,20240056,long method_ResourceManagerImpl#discoverHosts AddHostCmd.java,long method,function,minor,1
57,20240057,long method_ProjectRecordBatch#handleRemainder.java,long method,function,minor,1
58,20240058,long method_InternalXbaseParser#ruleXOtherOperatorExpression.java,long method,function,major,1
59,20240059,long method_AriesJaxrsServiceRuntime#buildApplicationDTO ApplicationRuntimeInformation.java,long method,function,major,1
60,20240060,long method_#extractDataAndSave IBatchDAO.java,long method,function,major,1
61,20240061,long method_HMSHandler#alterTableStatsForTruncate RawStore|String|String|String|Table|List<String>|String|long.java,long method,function,minor,1
62,20240062,long method_CancellationObserver#monitorUntil ActiveAnnotationContext|CancelIndicator|Function0<? extends Boolean>.java,long method,function,minor,1
63,20240063,long method_MultiplexingChannelSelector#configure Context.java,long method,function,major,1
64,20240064,long method_JPEGImageMetadataFormat.java,long method,function,major,1
65,20240065,long method_CeylonEnter#main List<JCCompilationUnit>.java,long method,function,major,1
66,20240066,long method_SubqueryNode#preprocess int|FromList|SubqueryList|PredicateList.java,long method,function,critical,1
67,20240067,long method_AmbariManagementControllerImpl#verifyRepository RepositoryRequest.java,long method,function,major,1
68,20240068,long method_InjectOnMemberAndConstructor#matchClass ClassTree|VisitorState.java,long method,function,major,1
69,20240069,long method_copyDirectory File|File.java,long method,function,minor,1
70,20240070,long method_BookmarkDao#loadBookmarkItemsByBookmarkIds Collection<Long>.java,long method,function,minor,1
71,20240071,long method_SchemaEntityFactory#classLoadComparator SchemaManager|String|String|Attribute.java,long method,function,major,1
72,20240072,long method_Seeker#addManualRecord Airing|UIClient.java,long method,function,critical,1
73,20240073,long method_UrlMappingHyperlinkDetector#findLinkComponentsInClosure ClosureExpression|int.java,long method,function,critical,1
74,20240074,long method_AbstractBooleanCredentialsStrategy#validate ValidationContext|CredentialsStrategy.java,long method,function,minor,1
75,20240075,long method_evaluateImpl Object|Object.java,long method,function,minor,1
76,20240076,long method_SingleHopQuarterPartitionResolver#getRoutingObject EntryOperation.java,long method,function,minor,1
77,20240077,long method_SupervisorInfo#toString.java,long method,function,major,1
78,20240078,long method_VectorPTFOperator#setupOverflowBatch.java,long method,function,minor,1
79,20240079,long method_TezBucketJoinAlgorithm#getCost HiveJoin.java,long method,function,major,1
80,20240080,long method_Xtext2EcoreTransformer#deriveTypeHierarchyFromOverridden ParserRule|Grammar.java,long method,function,major,1
81,20240081,long method_SynchronousMessageStoreRecoverer#recover QueueManagingVirtualHost<?>.java,long method,function,critical,1
82,20240082,long method_RunMojo#addRelevantPluginDependenciesToClasspath Set<URL>.java,long method,function,minor,1
83,20240083,long method_MainActivity#onCreate Bundle.java,long method,function,major,1
84,20240084,long method_KinesisVideoRekognitionLambdaExample#processSingleRecord Record.java,long method,function,major,1
85,20240085,long method_InternalXtextGrammarTestLanguageParser#rule__Action__OperatorAssignment_2_2.java,long method,function,minor,1
86,20240086,long method_InternalEntitiesParser#entryRuleXMultiplicativeExpression.java,long method,function,minor,1
87,20240087,long method_OpaqueCopyArgbToAny#Blit SurfaceData|SurfaceData|Composite|Region|int|int|int|int|int|int.java,long method,function,major,1
88,20240088,long method_IncrementalTableBackupClient#handleBulkLoad List<TableName>.java,long method,function,minor,1
89,20240089,long method_decodeUrl byte[].java,long method,function,minor,1
90,20240090,long method_BaseAggregateIT#testGroupByOrderPreservingDescSort.java,long method,function,major,1
91,20240091,long method_DocletInvoker#invoke String|Object|Class<?>[]|Object[].java,long method,function,major,1
92,20240092,long method_DFA60#specialStateTransition int|IntStream.java,long method,function,major,1
93,20240093,long method_CurrentLiveVersion ReloadableType|String|byte[].java,long method,function,minor,1
94,20240094,long method_VersionedStatsRegionEntryOffHeapIntKey#setVersions VersionTag.java,long method,function,minor,1
95,20240095,long method_characterSet String|int|int.java,long method,function,minor,1
96,20240096,long method_FailoverProviderFactory#createProvider URI|ProviderFutureFactory.java,long method,function,minor,1
97,20240097,long method_VariablePage#buildContent.java,long method,function,minor,1
98,20240098,long method_SMBMapJoinOperator#initializeOp Configuration.java,long method,function,major,1
99,20240099,long method_SamplerDeserializer#deserialize JsonParser|DeserializationContext.java,long method,function,major,1
100,202400100,long method_getOatFileInstructionSet File.java,long method,function,minor,1
101,202400101,long method_findClassLoader.java,long method,function,minor,1
102,202400102,long method_forType Type|TypeProvider|VariableResolver.java,long method,function,minor,1
103,202400103,long method_ARMSmlsdTranslator#translateCore ITranslationEnvironment|IInstruction|List<ReilInstruction>.java,long method,function,major,1
104,202400104,long method_X509CertInfo#toString.java,long method,function,minor,1
105,202400105,long method_ProjectsMenuListener#createAction ProjectInfo|TeamConfiguration.java,long method,function,major,1
106,202400106,long method_ExtractMediaMetadata#tika_parse InputStream|String|Integer|Integer.java,long method,function,major,1
107,202400107,long method_ColumnSetup#computeTableUnit PercentBaseContext|int.java,long method,function,minor,1
108,202400108,long method_TypedDescendantIterator#next.java,long method,function,minor,1
109,202400109,long method_doRawReceiveFile File|int|InputStream.java,long method,function,minor,1
110,202400110,long method_ServerView#getColumnText Object|int.java,long method,function,minor,1
111,202400111,long method_SearchRequestImpl#hashCode.java,long method,function,major,1
112,202400112,long method_SLACalculatorMemory#reloadExpectedTimeAndConfig SLACalcStatus.java,long method,function,minor,1
113,202400113,long method_JobHistoryZKStateManager#resetApplications.java,long method,function,minor,1
114,202400114,long method_TreeNodeChildren TreeNode|Object|PropertyAccessor.java,long method,function,minor,1
115,202400115,long method_shortenDbName String|int.java,long method,function,major,1
116,202400116,long method_ResourceType|Boolean|String.java,long method,function,major,1
117,202400117,long method_Oplog#recoverDrf OplogEntryIdSet|boolean|boolean.java,long method,function,major,1
118,202400118,long method_OpenFont#readFont FontFileReader|String|String.java,long method,function,minor,1
119,202400119,long method_NativeKeyHolder P11Key|long|Session|boolean|boolean.java,long method,function,major,1
120,202400120,long method_AuditRulesCommand#runWithoutHelp CommandRunnerParams.java,long method,function,critical,1
121,202400121,long method_findEditorByConvention Class<?>.java,long method,function,critical,1
122,202400122,long method_DBDictionary#toBulkOperation ClassMapping|Select|JDBCStore|Object[]|Map.java,long method,function,critical,1
123,202400123,long method_DataCreator#createETStreamOnComplexProp Edm|OData.java,long method,function,critical,1
124,202400124,long method_TopNHash#tryStoreVectorizedKey HiveKey|boolean|int.java,long method,function,major,1
125,202400125,long method_AgentsThread#run.java,long method,function,major,1
126,202400126,long method_TSWAHyperlinkBuilder#formatQueryString String|String[].java,long method,function,minor,1
127,202400127,long method_SharedEntityManagerInvocationHandler#invoke Object|Method|Object[].java,long method,function,major,1
128,202400128,long method_AbstractUITestApplication#getApplicationToRun String[].java,long method,function,minor,1
129,202400129,long method_BindStatus RequestContext|String|boolean.java,long method,function,major,1
130,202400130,long method_ELParser#DynamicExpression.java,long method,function,minor,1
131,202400131,long method_JsonGenerator LogIterator.java,long method,function,critical,1
132,202400132,long method_LogManager#getOrderedLogFileIds.java,long method,function,critical,1
133,202400133,long method_WindowsInternalFrameTitlePane#paintComponent Graphics.java,long method,function,major,1
134,202400134,long method_SmapGenVisitor#doSmapText Node.java,long method,function,minor,1
135,202400135,long method_ProductCrawler#crawl File.java,long method,function,major,1
136,202400136,long method_normalizePath String.java,long method,function,critical,1
137,202400137,long method_getIP.java,long method,function,minor,1
138,202400138,long method_DtoFactory#createSystemDiagnosticsDto SystemDiagnostics.java,long method,function,major,1
139,202400139,long method_AbstractFailureDetector#checkHealth.java,long method,function,minor,1
140,202400140,long method_ServerDBSyncImpl#syncAll short.java,long method,function,major,1
141,202400141,long method_ProductCategoryUsageSimulator double|double|double|SeedFactory.java,long method,function,none,0
142,202400142,long method_BasicPolicyConfiguration#open boolean.java,long method,function,none,0
143,202400143,long method_CryptoAdmin#run String[].java,long method,function,none,0
144,202400144,long method_Options#get String|T.java,long method,function,none,0
145,202400145,long method_SynchronizedCollection#forEach Consumer<? super E>.java,long method,function,none,0
146,202400146,long method_CNode#setKeyComparator Class<? extends WritableComparator>.java,long method,function,none,0
147,202400147,long method_EffectiveNodeTypeImpl#getMandatoryQPropertyDefinitions.java,long method,function,none,0
148,202400148,long method_SlotID ResourceID|int.java,long method,function,none,0
149,202400149,long method_SunZodiacCalc#getZodiac Calendar.java,long method,function,none,0
150,202400150,long method_StacksService#createStackVersionResource String|String.java,long method,function,none,0
151,202400151,long method_findDeclaredMethod Class<?>|String|Class<?>.java,long method,function,none,0
152,202400152,long method_TProtocol|list_roles_privileges_result.java,long method,function,none,0
153,202400153,long method_FencedFeedbackPanel#onReAdd.java,long method,function,none,0
154,202400154,long method_validateArguments int|int.java,long method,function,none,0
155,202400155,long method_SubjectService#list.java,long method,function,none,0
156,202400156,long method_Builder|boolean.java,long method,function,none,0
157,202400157,long method_getMetaImage Vector<Object>.java,long method,function,none,0
158,202400158,long method_Builder#buildAddress ASTaddress|DecodeMonitor.java,long method,function,none,0
159,202400159,long method_getAttributeAsInteger Element|String.java,long method,function,none,0
160,202400160,long method_HDFSTextSerializer#getKey Event.java,long method,function,none,0
161,202400161,long method_IgniteIoTestMessage#onBeforeWrite.java,long method,function,none,0
162,202400162,long method_MergeTopN#execute Tuple|Object|TimeWindow.java,long method,function,none,0
163,202400163,long method_PathFileObject#getCharContent boolean.java,long method,function,none,0
164,202400164,long method_ObjIdMap#rehash Entry[]|int|int.java,long method,function,none,0
165,202400165,long method_UnaryArithmeticOperatorNode#bindSQRTABS.java,long method,function,none,0
166,202400166,long method_HTTP|Dest|String.java,long method,function,none,0
167,202400167,long method_MXMLClassReferenceNodeBase#getEventSpecifierNode String.java,long method,function,none,0
168,202400168,long method_FileAttachmentsControl#fillMenuBeforeShow IMenuManager.java,long method,function,none,0
169,202400169,long method_FileMonitor#createDaemonGroup.java,long method,function,none,0
170,202400170,long method_Asn1Eoc#toString.java,long method,function,none,0
171,202400171,long method_DomainClass#gspFolderName.java,long method,function,none,0
172,202400172,long method_GrailsConsoleLineTracker#isGrailsLaunch ILaunchConfiguration.java,long method,function,none,0
173,202400173,long method_GroomServer#removeTaskFromJob BSPJobID|TaskInProgress.java,long method,function,none,0
174,202400174,long method_DataSourceAction#notifyCannotPerform.java,long method,function,none,0
175,202400175,long method_BaseMonitor#getServiceType Object.java,long method,function,none,0
176,202400176,long method_SqlManager#getColumnInfoForQuery String.java,long method,function,none,0
177,202400177,long method_HeaderMap Bucket[]|byte[]|int|int.java,long method,function,none,0
178,202400178,long method_NodeValueIterator#reset.java,long method,function,none,0
179,202400179,long method_Codec#decode UaDecoder.java,long method,function,none,0
180,202400180,long method_SegmentCheckpointMBean#releaseCheckpoint String.java,long method,function,none,0
181,202400181,long method_valueOfIgnoreCase String.java,long method,function,none,0
182,202400182,long method_CssLicenseHeaderHandler#getSuffixes.java,long method,function,none,0
183,202400183,long method_ValidatorImpl#validateParameters T|Method|Object[]|Class<?>.java,long method,function,none,0
184,202400184,long method_UDFXPathString#evaluate String|String.java,long method,function,none,0
185,202400185,long method_GradleRunnable#run IProgressMonitor.java,long method,function,none,0
186,202400186,long method_ShadowAccessibilityNodeInfo#getChildCount.java,long method,function,none,0
187,202400187,long method_using TestSortedSetGenerator<E>.java,long method,function,none,0
188,202400188,long method_Cost#compareTo Cost.java,long method,function,none,0
189,202400189,long method_toFrameworkID ByteBuffer.java,long method,function,none,0
190,202400190,long method_SharePointADAuthority#viewConfiguration IThreadContext|IHTTPOutput|Locale|ConfigParams.java,long method,function,none,0
191,202400191,long method_SequenceSet#add Sequence.java,long method,function,none,0
192,202400192,long method_MatrixStyle#getProperty String.java,long method,function,none,0
193,202400193,long method_BODY#$onclick String.java,long method,function,none,0
194,202400194,long method_XbaseWithAnnotationsProposalProvider#getRawReturnType JvmOperation.java,long method,function,none,0
195,202400195,long method_WikiContext#setRealPage WikiPage.java,long method,function,none,0
196,202400196,long method_Traversalor#checkValid.java,long method,function,none,0
197,202400197,long method_toAsset2 Asset.java,long method,function,none,0
198,202400198,long method_TimeoutFuture#pendingToString.java,long method,function,none,0
199,202400199,long method_StateMgrBase#sync.java,long method,function,none,0
200,202400200,long method_SchedulerApplicationAttempt#compareInputOrderTo SchedulableEntity.java,long method,function,none,0
201,202400201,long method_Rdn#hashCode.java,long method,function,none,0
202,202400202,long method_RangerUsernamePasswordAuthenticationFilter#setRememberMeServices RememberMeServices.java,long method,function,none,0
203,202400203,long method_PropertySpecifier String.java,long method,function,none,0
204,202400204,long method_Property#setDefaultValue String.java,long method,function,none,0
205,202400205,long method_PreOrderOnceWalker#walk Node.java,long method,function,none,0
206,202400206,long method_Popup#show.java,long method,function,none,0
207,202400207,long method_parseCalendarDefaultParse String.java,long method,function,none,0
208,202400208,long method_OpenSslJnaCryptoRandom#nextBytes byte[].java,long method,function,none,0
209,202400209,long method_newInstance LegendData.java,long method,function,none,0
210,202400210,long method_MyBindingImpl#eIsSet int.java,long method,function,none,0
211,202400211,long method_ModelChangeStructureDataType#toString.java,long method,function,none,0
212,202400212,long method_MessageCounter#resetHistory.java,long method,function,none,0
213,202400213,long method_Matcher#toString.java,long method,function,none,0
214,202400214,long method_MainActivity#onDestroy.java,long method,function,none,0
215,202400215,long method_isSignedFloat String.java,long method,function,none,0
216,202400216,long method_InternalIntIterator#hasNext.java,long method,function,none,0
217,202400217,long method_InternalBacktrackingContentAssistTestLanguageParser#synpred87_InternalBacktrackingContentAssistTestLanguage.java,long method,function,none,0
218,202400218,long method_ImmutableTablePropertiesIT#testImmutableKeywordAndProperty.java,long method,function,none,0
219,202400219,long method_getTableKeyFromFullName String.java,long method,function,none,0
220,202400220,long method_FunctionsBase#downloadFunction String.java,long method,function,none,0
221,202400221,long method_FlowBuilder#build.java,long method,function,none,0
222,202400222,long method_FilePackageInfo#hasClasses.java,long method,function,none,0
223,202400223,long method_extractErrorMessage Throwable.java,long method,function,none,0
224,202400224,long method_Environment#isSQLDateAndTimeTimeZoneSameAsNormal.java,long method,function,none,0
225,202400225,long method_Directories#getLocationForDisk DataDirectory.java,long method,function,none,0
226,202400226,long method_DAGCommitStartedEvent#toSummaryProtoStream OutputStream.java,long method,function,none,0
227,202400227,long method_CreateFileThread#finishUp.java,long method,function,none,0
228,202400228,long method_ConvertingCursor#open.java,long method,function,none,0
229,202400229,long method_closeStream Channel.java,long method,function,none,0
230,202400230,long method_Builder#connection Connection.java,long method,function,none,0
231,202400231,long method_Builder#backendName String.java,long method,function,none,0
232,202400232,long method_BufferedCanvasComponent#setBufferType int.java,long method,function,none,0
233,202400233,long method_AFPData#clone.java,long method,function,none,0
234,202400234,long method_addSSHCredential_result#getFieldValue _Fields.java,long method,function,none,0
235,202400235,long method_ActionDialog#isPermissionErrorMessage Throwable.java,long method,function,none,0
236,202400236,long method_AbstractVirtualHost#validateNodeAutoCreationPolicy NodeAutoCreationPolicy.java,long method,function,none,0
237,202400237,long method_AbstractLinearTransform#clone.java,long method,function,none,0
238,202400238,long method_AbstractExecution#setIgnoreDepartedMembers boolean.java,long method,function,none,0
239,202400239,long method_XRCompositeManager#XRCompositeRectangles XRSurfaceData|GrowableRectArray.java,long method,function,none,0
240,202400240,long method_TimestampExtractTransform#expand PCollection<InputT>.java,long method,function,none,0
241,202400241,long method_ThreadSingletonServiceImpl#threadSingletonServiceAdded ComponentAdded<ThreadSingletonService>.java,long method,function,none,0
242,202400242,long method_SqlTypeExplicitPrecedenceList#compareTypePrecedence RelDataType|RelDataType.java,long method,function,none,0
243,202400243,long method_SetMatrix#process Operator|List<COSBase>.java,long method,function,none,0
244,202400244,long method_ServerRemoteProcedure#remoteOperationDone MasterProcedureEnv|Throwable.java,long method,function,none,0
245,202400245,long method_SentryStore#getMAuthzPaths long|String.java,long method,function,none,0
246,202400246,long method_RemoteRestartClientConfiguration#classPathFileSystemWatcher FileSystemWatcherFactory|ClassPathRestartStrategy.java,long method,function,none,0
247,202400247,long method_PDFLayoutEmitter#endContainer IContainerContent.java,long method,function,none,0
248,202400248,long method_orderFragments Set<WebXml>|Set<WebXml>.java,long method,function,none,0
249,202400249,long method_NextAvailableStrategy#mapToRelationship ProcessContext|FlowFile.java,long method,function,none,0
250,202400250,long method_MetaDataReader File|int.java,long method,function,none,0
251,202400251,long method_Merge#runLater State|RandWalkEnv.java,long method,function,none,0
252,202400252,long method_IgniteClusterImpl#restartNodes Collection<UUID>.java,long method,function,none,0
253,202400253,long method_FileHistoryCache#storeFile History|File|Repository|boolean.java,long method,function,none,0
254,202400254,long method_EncryptEdgeDispatcher#routeToBackend RoutingContext|Hcr|String.java,long method,function,none,0
255,202400255,long method_computeWidth IDisplayServer|Label.java,long method,function,none,0
256,202400256,long method_ASCompilationUnit#createFileNode IFileSpecification.java,long method,function,none,0
257,202400257,long method_APIRequestUpdate#setParam String|Object.java,long method,function,none,0
258,202400258,long method_AbstractXbaseCompiler#appendDefaultLiteral ITreeAppendable|LightweightTypeReference.java,long method,function,none,0
259,202400259,long method_AbstractQueue#getMessageContent long|long|boolean|boolean.java,long method,function,none,0
260,202400260,long method_AbstractWagon#connect Repository|ProxyInfoProvider.java,long method,function,none,0
261,202400261,long method_InternalBug462047LangLexer#mT__74.java,long method,function,none,0
262,202400262,long method_AdaptiveResultTreeImpl#comment char[]|int|int.java,long method,function,none,0
263,202400263,long method_AbstractMemoryStore#remove ConfiguredObjectRecord.java,long method,function,none,0
264,202400264,long method_CheckpointAMPreemptionPolicy#handleFailedContainer TaskAttemptId.java,long method,function,none,0
265,202400265,long method_CordovaCLI#version IProgressMonitor.java,long method,function,none,0
266,202400266,long method_TransformerImpl#setOutputProperty String|String.java,long method,function,none,0
267,202400267,long method_getParent Element.java,long method,function,none,0
268,202400268,long method_PropertyScope#printRemove ParsedRuleKeyFile|Value.java,long method,function,none,0
269,202400269,long method_getPaintingOrigin JComponent.java,long method,function,none,0
270,202400270,long method_ParallelSelectUnsortedSetIterable#allSatisfy Predicate<? super T>.java,long method,function,none,0
271,202400271,long method_ObjectReferenceImpl#referenceType.java,long method,function,none,0
272,202400272,long method_ApplicationBuilder#checkDuringManage.java,long method,function,none,0
273,202400273,long method_PublishingBodySubscriber.java,long method,function,none,0
274,202400274,long method_Call ParsingContext|StartElement|Attributes|Stack.java,long method,function,none,0
275,202400275,long method_Primitive.java,long method,function,none,0
276,202400276,long method_UnmodifiableMutableMap#toSortedList.java,long method,function,none,0
277,202400277,long method_ClassDefItemConsumer String|Future<ClassDefItem>|int|int.java,long method,function,none,0
278,202400278,long method_NodeSequence#getRoot.java,long method,function,none,0
279,202400279,long method_ResourceResponseImpl#setLocale Locale.java,long method,function,none,0
280,202400280,long method_payloadSize.java,long method,function,none,0
281,202400281,long method_TransactionDetail Xid|Transaction|Long.java,long method,function,none,0
282,202400282,long method_Pool#flush.java,long method,function,none,0
283,202400283,long method_CsvRecordOutput#printCommaUnlessFirst.java,long method,function,none,0
284,202400284,long method_SiteEntityEntityServiceMemoryImpl#create SiteEntity.java,long method,function,none,0
285,202400285,long method_WordCountHBaseIT#setUp.java,long method,function,none,0
286,202400286,long method_CloudSearchIndexWriter#close.java,long method,function,none,0
287,202400287,long method_HttpHost#clone.java,long method,function,none,0
288,202400288,long method_SendPartitionMutationsRequest#writeRequest DataOutput.java,long method,function,none,0
289,202400289,long method_DefaultMetadataService#bindMetadataProvider MetadataProvider.java,long method,function,none,0
290,202400290,long method_ControlCommandMarshaller#tightMarshal1 OpenWireFormat|Object|BooleanStream.java,long method,function,none,0
291,202400291,long method_TPrivilegePrincipal#setFieldValue _Fields|Object.java,long method,function,none,0
292,202400292,long method_PlayerSession#isSuspended.java,long method,function,none,0
293,202400293,long method_NumberFeatureExpression#getFloatValue MatchContext|RutaStream.java,long method,function,none,0
294,202400294,long method_LogTransformer#ignorableWhitespace char|int|int.java,long method,function,none,0
295,202400295,long method_EventStateCollection#getNameElement NodeId|NodeId|HierarchyManager.java,long method,function,none,0
296,202400296,long method_DexDataBuffer#write short[].java,long method,function,none,0
297,202400297,long method_CountingOutputStream#write byte[].java,long method,function,none,0
298,202400298,long method_AnimSVGRect#setX float.java,long method,function,none,0
299,202400299,long method_CheckBoxFilterComplexRule#appliesToPartially GenerationSimpleRule|int.java,long method,function,none,0
300,202400300,long method_GenericUDAFnGramEvaluator#getNewAggregationBuffer.java,long method,function,none,0
301,202400301,long method_BUTTON#$lang String.java,long method,function,none,0
302,202400302,long method_getLabelField String.java,long method,function,none,0
303,202400303,long method_MapReduceParallelScanGrouper#getRegionLocationsFromManifest SnapshotManifest.java,long method,function,none,0
304,202400304,long method_DirectScanPrel RelOptCluster|RelTraitSet|GroupScan|RelDataType.java,long method,function,none,0
305,202400305,long method_Position.java,long method,function,none,0
306,202400306,long method_BaseDataStreamMarshaller#looseMarshalByteArray OpenWireFormat|byte[]|DataOutput.java,long method,function,none,0
307,202400307,long method_getColumnProperties.java,long method,function,none,0
308,202400308,long method_ImageProcess String|String|Properties|ImageThread|Iterator|ImageModule|Iterator|int.java,long method,function,none,0
309,202400309,long method_UnmodifiableAccessControlList#getRestrictionType String.java,long method,function,none,0
310,202400310,long method_makeAllColumnsPrimaryKeysIfNoPrimaryKeysFound Table.java,long method,function,none,0
311,202400311,long method_Builder#computeDiffEntries Repository|GitilesView|RevWalk|RevCommit.java,long method,function,none,0
312,202400312,long method_setFieldValue Field|String.java,long method,function,none,0
313,202400313,long method_CopyAction#getText.java,long method,function,none,0
314,202400314,long method_SetAudioVolume int|int|int|int.java,long method,function,none,0
315,202400315,long method_FowlerdslAdapterFactory#defaultCase EObject.java,long method,function,none,0
316,202400316,long method_GTParamOutFragment#onCreate Bundle.java,long method,function,none,0
317,202400317,long method_NginxSshDriver#customize.java,long method,function,none,0
318,202400318,long method_PropertyEntryImpl#buildPath boolean.java,long method,function,none,0
319,202400319,long method_DeleteShareProductDividendCommandHandler#processCommand JsonCommand.java,long method,function,none,0
320,202400320,long method_ProfileHttpClientBase#setProfileAttributes VssJsonCollectionWrapper<List<ProfileAttributeBase<Object>>>|String.java,long method,function,none,0
321,202400321,long method_WebController#ping.java,long method,function,none,0
322,202400322,long method_RMIContext#getCurrentBindings.java,long method,function,none,0
323,202400323,long method_JSAMDEmitter#emitPackageContents IPackageDefinition.java,long method,function,none,0
324,202400324,long method_Activator#stop BundleContext.java,long method,function,none,0
325,202400325,long method_Builder#copy ListVolumeGroupBackupsResponse.java,long method,function,none,0
326,202400326,long method_MockHttpServletResponse#setContentLength int.java,long method,function,none,0
327,202400327,long method_GenericResultSetFactory#getUpdateVTIResultSet NoPutResultSet.java,long method,function,none,0
328,202400328,long method_TesterObject#getConnection.java,long method,function,none,0
329,202400329,long method_QueueActorRouterProducer#getMessageTypes.java,long method,function,none,0
330,202400330,long method_is64bitJVM.java,long method,function,none,0
331,202400331,long method_DateTimeItem#setState State.java,long method,function,none,0
332,202400332,long method_validate EncryptionKey|ApRep|ApReq.java,long method,function,none,0
333,202400333,long method_WeightedAshwoodEntitySorter.java,long method,function,none,0
